Tax transferee,Amount due,Tax years due,Date,Land use code,Census tract
"FREEHOLD PROPERTIES, LLC","$4,556.83 ","20,142,015,201,620,100,000",4/1/2022,100,13121008602
FREEHOLD PROPERTIES LLC,"$4,691.21 ","20,142,015,201,620,100,000",8/1/2021,100,13121008602
"FREEHOLD PROPERTIES, LLC","$4,549.54 ","20,142,015,201,620,100,000",3/1/2021,100,13121008602
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$1,573.97 ",2018,3/1/2021,300,13121010303
,"$10,736.78 ","20,192,020",10/1/2021,300,13121011900
"FIG as Custodian for FIG GA13, LLC and Secured Party","$1,190.17 ","20,172,018",3/1/2020,100,13121007200
"VESTA HOLDINGS I. LLC AS NOMINEE FOR HEARTWOOD 16, LLC","$7,322.61 ",2005,2/1/2016,100,13121010510
,"$29,799.72 ","201,020,112,012",11/1/2017,300,13121010510
"RIAH CAPITAL MGMT , LLC AS CUST. FOR JUNO TAX RECEIVABLE LLC; RIAH CAPITAL MANAGEMENT LLC CUST. FOR JUNO TAX RECEIVABLES LLC","$11,545.38 ","201,220,132,014",5/1/2017,373,13121011301
,"$25,350.73 ","201,520,162,017,201,000,000,000",3/1/2022,100,13121010516
INVESTA SERVICES OF GA CHRISTIANA TRUST AS CUSTODIAN,"$7,439.13 ",2013,11/1/2020,301,13121011303
"RIAH CAPITAL MANAGEMENT, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC SUBSEQUENTLY TRANSFERRED TO TAX PORTFOLIO SERVICES, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC","$1,609.06 ",2011,8/1/2017,101,13121006602
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z; INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN; INVESTA SERVICES OF GA CHRISTIANA TRUST AS CUSTODIAN","$3,783.49 ","201,320,142,015",12/1/2016,101,13121006602
"INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN, INVESTA SERVICES LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$3,285.84 ","20,142,015",3/1/2017,101,13121007200
"RIAH CAPITAL MANAGEMENT, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC SUBSEQUENTLY TRANSFERRED TO TAX PORTFOLIO SERVICES, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC","$3,494.29 ",2011,10/1/2016,101,13121007200
"FIG as Custodian for FIG GA13, LLC and Secured Party","$1,063.31 ","20,172,018",3/1/2020,100,13089023423
"Investa Services LLC/ Christiana Trust as Custodian Invest Services of GA Christiana Trust as Custodian Investa Services of GA as Nominee for Fulton Tax Capital IV, LLC","$3,044.03 ","201,220,132,014",6/1/2015,101,13121011000
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$1,417.31 ",2018,4/1/2020,101,13121011000
,"$9,660.61 ","201,120,122,013",12/1/2017,300,13121011421
Foad G. Razavi,"$22,895.05 ","201,520,162,017,201,000,000,000",4/1/2022,300,13121011421
RIAH CAPITAL MANAGEMENT LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC SUBSEQUENTLY TRANSFERRED TO TAX PORTFOLIO SERVICES LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC,"$3,897.23 ","20,102,011",8/1/2016,614,13121011000
"In Vesta Services as custodian for Granite Tax, LLC; Investa Services of GA as custodian for Granite Tax, LLC","$3,053.89 ","201,020,112,012",11/1/2015,614,13121011000
"RIAH CAPITAL MANAGEMENT, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC SUBSEQUENTLY TRANSFERRED TO TAX PORTFOLIO SERVICES, LLC AS THE NOMINEE FOR SOUTHERN TAX CAPITAL LLC","$4,036.72 ","20,102,011",3/1/2017,614,13121011000
"RIAH CAPITAL MANAGEMENT, LLC AS CUSTODIAN FOR JUNO TAX RECEIVABLES LLC","$1,038.71 ",2012,4/1/2017,614,13121011000
"INVESTA SERVICES LLC SERVICER FOR CHRISTIANA TRST.CUSTODIAN FOR GSRAN-Z, INVESTA SERVICES OF GA AS CUSTODIAN FOR GRANITE TAX LLC","$5,180.20 ","20,112,012,201,320,100,000",9/1/2016,614,13121011000
"RIAH CAPITAL MANAGEMENT, LLC AS CUSTODIAN FOR JUNO TAX RECEIVABLE LLC",$663.56 ,2013,2/1/2018,701,13121003100
"FIG as Custodian for FIG GA13, LLC and Secured Party","$1,071.11 ","20,172,018",3/1/2020,100,13089023423
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY",$916.29 ,2018,3/1/2022,100,13121010603
"RIAH CAPITAL MANAGEMENT, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC SUBSEQUENTLY TRANSFERRED TO TAX PORTFOLIO SERVICES, LLC AS THE NOMINEE FOR SOUTHERN TAX CAPITAL LLC","$3,236.09 ",2011,5/1/2017,101,13121007705
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY",$539.41 ,2018,8/1/2021,100,13121007500
ELLIOT FRITZ,"$1,750.24 ","20,142,015",4/1/2017,101,13121010800
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY",$973.13 ,2018,3/1/2021,100,13121011420
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY",$777.39 ,2018,11/1/2020,100,13121011420
"INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN, INVESTA SERVICES LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$12,723.21 ","20,142,015",3/1/2017,101,13089021213
"RIAH CAPITAL MANAGEMENT, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC SUBSEQUENTLY TRANSFERRED TO TAX PORTFOLIO SERVICES, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC",$789.75 ,2011,9/1/2018,106,13121010119
"INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN; INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$3,407.51 ","201,420,152,016",3/1/2018,106,13121010119
"RIAH CAPITAL MANAGEMENT, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC SUBSEQUENTLY TRANSFERRED TO TAX PORTFOLIO SERVICES, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC",$751.50 ,2011,9/1/2018,106,13121010119
"Investa Services as as custodian for Granite Tax, LLC;Investa Services as Custodian for Christiana Trust","$1,146.07 ","20,122,013",3/1/2015,106,13121010119
"INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN; INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$2,658.06 ","201,420,152,016",3/1/2018,106,13121010119
"RIAH CAPITAL MANAGEMENT, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC SUBSEQUENTLY TRANSFERRED TO TAX PORTFOLIO SERVICES, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC","$1,025.76 ",2011,12/1/2018,106,13121010119
"RIAH CAPITAL MANAGEMENT, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC SUBSEQUENTLY TRANSFERRED TO TAX PORTFOLIO SERVICES, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC","$1,218.62 ",2011,12/1/2017,106,13121010119
INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN,"$1,465.04 ",2014,9/1/2017,106,13121010119
"Investa Services as as custodian for Granite Tax, LLC;Investa Services as Custodian for Christiana Trust","$1,155.43 ","20,122,013",3/1/2015,106,13121010119
"Investa Services as as custodian for Granite Tax, LLC;Investa Services as Custodian for Christiana Trust","$1,146.07 ","20,122,013",3/1/2015,106,13121010119
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z; INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN; INVESTA SERVICES OF GA CHRISTIANA TRUST AS CUSTODIAN","$3,320.57 ","2,012,201,320,142,010",2/1/2017,106,13121010119
"Investa Services, LLC Servicer for Christiana Trst. Custodian for GSRAN-Z","$5,538.01 ",2016,5/1/2019,701,13121003600
"InVesta Services, LLC, Servicer For Christiana Trst. Custodian for GSRAN-Z","$11,201.79 ","2,012,201,320,142,010,000,000,000,000",8/1/2019,100,13121008500
,"$12,129.66 ","200,920,102,011",9/1/2016,100,13121008500
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY",$581.82 ,2018,2/1/2021,100,13121007200
,"$15,789.59 ","201,520,162,017,201,000,000,000",12/1/2021,100,13121010303
,"$16,776.64 ","201,320,142,015,201,000,000,000",9/1/2020,300,13121007400
,"$16,060.03 ","201,320,142,015,201,000,000,000",2/1/2020,300,13121007400
,"$17,873.35 ","201,320,142,015,201,000,000,000",4/1/2021,300,13121007400
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$1,222.86 ",2018,3/1/2022,100,13121011303
RIAH CAPITAL MGMT. LLC AS CUST. FOR JUNO TAX RECEIVABLES LLC,"$2,415.65 ","201,220,132,014",10/1/2017,101,13121007705
"INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN; INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$1,181.75 ","20,142,015",9/1/2017,101,13121007705
"RIAH CAPITAL MANAGEMENT, LLC AS CUSTODIAN FOR JUNO TAX RECEIVABLES LLC","$7,100.21 ",2010,9/1/2015,701,13121008700
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$1,490.49 ",2018,4/1/2021,100,13121010400
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z; INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN; INVESTA SERVICES OF GA AS NOMINEE FOR GSRAN, LLC","$221,161.30 ","201,120,142,015",12/1/2016,338,13121010115
,"$91,719.25 ","201,120,122,013,201,000,000,000",11/1/2018,300,13121006802
Investa Services of GA Christina Trust as Custodian,"$5,732.21 ","2,010,201,120,122,010",8/1/2015,101,13121010400
,"$20,781.15 ","201,620,172,018",2/1/2020,300,13121008601
"InVesta Services of GA as Custodian for InVesta(C1) SPE-GA, LLC","$1,630.85 ",2012,11/1/2019,101,13121011618
,"$75,702.63 ","2,013,201,420,152,010",11/1/2017,400,13121008602
"RIAH CAPITAL MANAGEMENT, LLC AS CUSTODIAN FOR JUNO TAX RECEIVABLES LLC",$660.28 ,2013,5/1/2018,100,13121008800
,"$16,802.61 ","20,142,015",2/1/2017,100,13121008800
"DINKU PROPERTY DEVELOPMENT, LLC","$10,966.29 ",2016,10/1/2018,100,13121008800
"DINKU PROPERTY DEVELOPMENT, LLC","$12,821.72 ",2016,8/1/2020,100,13121008800
"PALLADIUM REALTY, LLC","$6,048.10 ","20,142,015",7/1/2018,101,13121010400
SECURE PROPERTY HOLDINGS C/O SECURE PROPERTY INVESTMENTS,"$40,337.23 ",2011,5/1/2015,101,13121010210
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY",$602.83 ,2018,4/1/2021,100,13121007200
,"$6,494.46 ","20,132,014,201,520,100,000",4/1/2020,100,13121011610
"RIAH CAPITAL MANAGEMENT, LLC AS CUSTODIAN FOR JUNO TAX RECEIVABLE LLC",$576.42 ,2014,12/1/2019,188,13121007002
"INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN; INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$18,854.97 ","20,142,015",3/1/2017,101,13121010002
Investa Services of GA Christina Trust as Custodian,"$1,661.87 ",2013,9/1/2015,106,13121008904
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$1,666.42 ","201,720,182,019",11/1/2020,100,13121010301
"GEORGIA TAX PAYMENTS, LLC","$11,251.16 ","201,120,122,013,201,000,000,000",10/1/2017,100,13121008500
,"$33,276.48 ","201,520,162,017,201,000,000,000",6/1/2022,300,13121008602
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z; INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN","$2,561.24 ","201,420,152,016",11/1/2019,101,13121010002
"INVESTA SERVICES OF GA CHRISTIANA TRUST AS CUSTODIAN; INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$4,474.86 ","20,132,015",4/1/2017,101,13121011620
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY",$799.64 ,2018,3/1/2021,100,13121011420
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY",$609.22 ,2018,11/1/2020,100,13121011420
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY",$951.60 ,2018,4/1/2020,299,13121011201
RIAH CAPITAL MGMT. LLC AS CUST. FOR JUNO TAX RECEIVABLES LLC,$836.20 ,2013,9/1/2018,101,13121011201
"RIAH CAPITAL MANAGEMENT, LLC AS CUSTODIAN FOR JUNO TAX RECEIVABLE LLC",$976.20 ,"20,132,014",12/1/2019,700,13121005501
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z, INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN, INVESTA SERVICES OF GA CHRISTIANA TRUST AS CUSTODIAN","$4,402.09 ","201,320,142,015",11/1/2016,106,13121009102
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$4,171.47 ","201,520,162,018",4/1/2021,100,13121010304
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$3,758.41 ","201,520,162,018",9/1/2020,100,13121010304
"INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN, INVESTA SERVICES LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$4,804.21 ","20,142,015",3/1/2017,100,13121010107
"RIAH CAPITAL MANAGEMENT, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC SUBSEQUENTLY TRANSFERRED TO TAX PORTFOLIO SERVICES, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC","$4,717.01 ",2011,11/1/2016,100,13121010107
,"$38,984.23 ","201,120,122,013,201,000,000,000",9/1/2018,300,13121011202
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$1,278.28 ",2018,2/1/2022,101,13121009700
,"$3,888.44 ","20,192,020",4/1/2022,101,13121011100
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$2,018.12 ",2018,4/1/2021,101,13121011100
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$1,590.91 ",2018,9/1/2020,101,13121011100
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$1,502.31 ",2018,4/1/2020,101,13121011100
"RIAH CAPITAL MANAGEMENT, LLC AS CUSTODIAN FOR JUNO TAX RECEIVABLES LLC",$778.58 ,2014,11/1/2020,100,13121007705
"InVesta Services of GA as nominee for Fulton Tax Capital IV, LLC",$871.63 ,2012,6/1/2015,101,13121010301
"InVesta Services of GA as Custodian for InVesta(C1) SPE-GA, LLC","$1,251.99 ",2012,9/1/2017,101,13121010210
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z; INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN","$4,019.77 ","201,420,152,016",2/1/2018,101,13121006602
,"$12,467.23 ","20,132,014,201,520,100,000",8/1/2020,300,13121007805
,"$12,775.29 ","20,132,014,201,520,100,000",11/1/2020,300,13121007805
,"$13,216.05 ","20,132,014,201,520,100,000",3/1/2021,300,13121007805
SECURE PROPERTY HOLDINGS C/O SECURE PROPERTY INVESTMENTS,"$25,917.34 ",2011,5/1/2015,101,13121010107
,"$110,479.06 ","20,202,021",9/1/2022,800,13121010303
,"$40,460.63 ","20,122,013,201,420,100,000",5/1/2019,300,13121007400
,"$6,192.93 ","20,082,009,201,020,100,000",3/1/2015,100,13121007805
,"$3,792.32 ",2021,9/1/2022,300,13121010303
"InVesta Services of GA as nominee for Fulton Tax Capital IV, LC","$13,486.52 ",2012,2/1/2015,101,13121010303
,"$30,139.16 ","201,520,162,017,201,000,000,000",3/1/2022,100,13121011617
"RIAH CAPITAL MANAGEMENT, LLC  AS CUSTODIAN FOR JUNO TAX RECEIVABLES LLC","$2,015.98 ","20,122,013",11/1/2017,101,13121007002
"RIAH CAPITAL MANAGEMENT, LLC AS CUSTODIAN FOR JUNO TAX RECEIVABLE LLC","$1,981.65 ","20,102,011",2/1/2015,101,13121007002
"RIAH CAPITAL MANAGEMENT, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC SUBSEQUENTLY TRANSFERRED TO TAX PORTFOLIO SERVICES, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC",$858.74 ,2011,9/1/2018,106,13121010118
"InVesta Services of GA as nominee for Fulton Tax Capital IV, LC",$931.10 ,2012,2/1/2015,106,13121010118
"RIAH CAPITAL MANAGEMENT, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC SUBSEQUENTLY TRANSFERRED TO TAX PORTFOLIO SERVICES, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC","$2,411.53 ",2011,8/1/2017,106,13121010118
Investa Services of GA Christina Trust as Custodian,$721.32 ,2013,9/1/2015,106,13121010118
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$3,999.64 ","2,014,201,520,162,010",9/1/2019,106,13121010118
"InVesta Services of GA as nominee for Fulton Tax Capital IV, LC","$18,293.96 ",2012,2/1/2015,101,13121010107
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$6,816.83 ","201,720,182,019",11/1/2020,100,13121010400
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODAIN FOR GSRAN-Z","$7,213.35 ","201,720,182,019",3/1/2021,100,13121010400
,"$36,733.65 ","20,092,010",8/1/2016,401,13121006500
"InVesta Services of GA as nominee for Fulton Tax Capital IV, LLC","$1,427.77 ",2012,2/1/2015,348,13121008201
,"$11,600.26 ","2,014,201,520,162,010,000,000,000,000",10/1/2021,100,13121007100
,"$24,555.17 ","201,620,172,018,201,000,000,000",10/1/2022,400,13121011800
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$3,780.85 ","201,320,142,015",12/1/2019,101,13121010513
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$3,367.82 ",2018,10/1/2020,188,13121010514
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY",$646.62 ,2018,2/1/2021,100,13121010119
"ABERON FUND 1, LLC C/O RIAH CAPITAL MANAGEMENT LLC SUBSEQUENTLY TRANSFERRED TO BEOR FUND 1, LLC C/O RIAH CAPITAL MANAGEMENT LLC","$8,312.79 ","20,142,015",12/1/2017,302,13121010514
"ABERON FUND 1, LLC C/O RIAH CAPITAL MANAGEMENT LLC","$9,297.72 ","20,142,015",12/1/2018,302,13121010514
"ABERON FUND 1, LLC BEOR FUND 1, LLC","$12,610.45 ","20,142,015",12/1/2021,302,13121010514
"ABERON FUND 1, LLC SUBSEQUENTLY TRANSFERRED TO BEOR FUND 1, LLC C/O RIAH CAPITAL MGMT, LLC","$13,306.35 ","20,142,015",5/1/2022,302,13121010514
ABERON FUND 1 LLC C/O RIAH CAPITAL MANAGEMENT LLC,"$8,888.17 ","20,142,015",9/1/2018,302,13121010514
,"$6,814.27 ",2016,3/1/2018,302,13121010514
"ABERON FUND 1, LLC SUBSEQUENTLY TRANSFERRED TO BEOR FUND 1, LLC C/O RIAH CAPITAL MGMT, LLC","$13,796.03 ","20,142,015",8/1/2022,302,13121010514
BEOR FUND 1,"$12,132.54 ","20,142,015",8/1/2021,302,13121010514
"RIAH CAPITAL MANAGEMENT, LLC, AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC SUBSEQUENTLY TRANSFERRED TO TAX PORTFOLIO SERVICES, LLC, AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC","$3,246.75 ",2011,5/1/2015,111,13121011427
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODAIN FOR GSRAN-Z","$6,079.36 ","20,152,016,201,720,100,000",10/1/2020,100,13121010304
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODAIN FOR GSRAN-Z","$6,377.97 ","20,152,016,201,720,100,000",2/1/2021,100,13121010304
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$1,824.62 ",2018,11/1/2021,888,13121010001
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$4,397.29 ","20,142,015",4/1/2017,101,13121010514
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$16,610.34 ",2015,12/1/2017,101,13121010514
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN","$17,100.68 ","20,152,016",12/1/2017,685,13121011303
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$30,721.37 ","201,520,172,018,201,000,000,000",8/1/2022,106,13121009601
Investa Services of GA Christina Trust as Custodian,"$1,039.67 ",2013,9/1/2015,101,13121008101
,"$97,347.90 ","201,020,112,012",11/1/2017,400,13121010303
"FIG as Custodian for FIG GA13, LLC and Secured Party","$1,142.09 ",2016,3/1/2020,188,13121010304
,"$172,308.46 ","200,920,102,011,201,000,000,000",5/1/2016,400,13121010303
"FIG CAPITAL INVESTMENTS, LLC","$8,634.12 ",2016,12/1/2018,100,13121007002
,"$87,494.16 ","20,122,013,201,420,100,000",4/1/2019,300,13121007706
"INVESTA SERVICES OF GA CHRISTIANA TRUST AS CUSTODIAN, INVESTA SERVICES, LLC SERVICER FOR FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$2,363.89 ","20,132,015",8/1/2017,398,13121008800
,"$104,953.91 ","2,012,201,320,142,010,000,000,000,000",8/1/2019,300,13121007706
"InVesta Services of GA as nominee for Fulton Tax Capital IV, LC","$1,164.50 ",2012,7/1/2015,101,13121010515
"RIAH CAPITAL MANAGEMENT, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC SUBSEQUENTLY TRANSFERRED TO TAX PORTFOLIO SERVICES, LLC AS THE NOMINEE FOR SOUTHERN TAX CAPITAL LLC","$1,957.70 ",2011,3/1/2017,101,13121006500
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z; INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN","$26,767.10 ","2,014,201,520,162,010",11/1/2019,101,13121010301
"RIAH CAPITAL MANAGEMENT, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC SUBSEQUENTLY TRANSFERRED TO TAX PORTFOLIO SERVICES, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC","$8,111.46 ",2011,10/1/2016,101,13121010301
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$2,294.19 ",2018,2/1/2022,398,13121008800
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODAIN FOR GSRAN-Z","$5,167.04 ","20,152,016,201,720,100,000",10/1/2020,100,13121010304
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODAIN FOR GSRAN-Z","$5,316.18 ","20,152,016,201,720,100,000",2/1/2021,100,13121010304
"RIAH CAPITAL MANAGEMENT, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC SUBSEQUENTLY TRANSFERRED TO TAX PORTFOLIO SERVICES, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC","$5,719.29 ",2011,11/1/2016,101,13121010304
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z; INVESTA SERVICES OF GA CHRISTIANA TRUST AS CUSTODIAN; INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN","$18,981.93 ","2,013,201,420,152,010",2/1/2019,101,13121010304
"FIG Capital Investments, LLC","$11,279.22 ",2016,7/1/2018,111,13121010303
,"$144,664.57 ","20,192,020",6/1/2022,2A1,13121010123
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODAIN FOR GSRAN-Z","$5,048.84 ","20,152,016,201,720,100,000",10/1/2020,100,13121010304
"InVesta Services of GA as nominee for Fulton Tax Capital IV, LC","$1,779.99 ",2012,2/1/2015,101,13121011506
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODAIN FOR GSRAN-Z","$5,438.02 ","20,152,016,201,720,100,000",2/1/2021,100,13121010304
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$1,214.66 ",2018,4/1/2022,101,13121007704
